  t(ticks)  ;  id_viatura  ;   destino    ;  t_estacion  ;    t_vida    ;  observacao  
200486678   ;  1           ;  E           ;  2500000     ;  ?           ;  encerrado   
200486844   ;  2           ;  O           ;  1500000     ;  ?           ;  encerrado   
201486933   ;  3           ;  O           ;  5000000     ;  ?           ;  encerrado   
201987101   ;  4           ;  O           ;  1000000     ;  ?           ;  encerrado   
202487264   ;  5           ;  S           ;  4500000     ;  ?           ;  encerrado   
203487411   ;  8           ;  E           ;  5000000     ;  ?           ;  encerrado   
203487584   ;  9           ;  O           ;  500000      ;  ?           ;  encerrado   
203489135   ;  6           ;  E           ;  5000000     ;  ?           ;  encerrado   
203489280   ;  7           ;  O           ;  3000000     ;  ?           ;  encerrado   
204487562   ;  10          ;  S           ;  1000000     ;  ?           ;  encerrado   
204987700   ;  11          ;  S           ;  4000000     ;  ?           ;  encerrado   
204987806   ;  12          ;  E           ;  4500000     ;  ?           ;  encerrado   
204987865   ;  13          ;  E           ;  2500000     ;  ?           ;  encerrado   
205488062   ;  14          ;  S           ;  5000000     ;  ?           ;  entrada     
205988044   ;  15          ;  S           ;  500000      ;  ?           ;  entrada     
205988066   ;  16          ;  N           ;  1000000     ;  ?           ;  entrada     
206488143   ;  17          ;  S           ;  3500000     ;  ?           ;  entrada     
206488158   ;  15          ;  S           ;  500000      ;  500114      ;  saida       
206488198   ;  18          ;  O           ;  2500000     ;  ?           ;  entrada     
206988251   ;  16          ;  N           ;  1000000     ;  1000185     ;  saida       
206988681   ;  21          ;  N           ;  1500000     ;  ?           ;  entrada     
206988688   ;  20          ;  E           ;  2000000     ;  ?           ;  entrada     
206988709   ;  19          ;  O           ;  2500000     ;  ?           ;  cheio       
207990999   ;  22          ;  O           ;  2500000     ;  ?           ;  cheio       
208488828   ;  21          ;  N           ;  1500000     ;  1500147     ;  saida       
208988368   ;  18          ;  O           ;  2500000     ;  2500170     ;  saida       
208988734   ;  20          ;  E           ;  2000000     ;  2000046     ;  saida       
208995506   ;  23          ;  O           ;  3500000     ;  ?           ;  entrada     
209491270   ;  25          ;  S           ;  1000000     ;  ?           ;  entrada     
209491281   ;  24          ;  S           ;  3500000     ;  ?           ;  entrada     
209988274   ;  17          ;  S           ;  3500000     ;  3500131     ;  saida       
209993437   ;  26          ;  E           ;  4500000     ;  ?           ;  entrada     
210488228   ;  14          ;  S           ;  5000000     ;  5000166     ;  saida       
210493127   ;  25          ;  S           ;  1000000     ;  1001857     ;  saida       
210989538   ;  27          ;  E           ;  4000000     ;  ?           ;  entrada     
211989079   ;  28          ;  S           ;  500000      ;  ?           ;  entrada     
212489201   ;  28          ;  S           ;  500000      ;  500122      ;  saida       
212495587   ;  23          ;  O           ;  3500000     ;  3500081     ;  saida       
212991230   ;  30          ;  N           ;  2000000     ;  ?           ;  entrada     
212991307   ;  29          ;  S           ;  1000000     ;  ?           ;  entrada     
212991498   ;  24          ;  S           ;  3500000     ;  3500217     ;  saida       
213492616   ;  32          ;  O           ;  4000000     ;  ?           ;  entrada     
213492630   ;  31          ;  N           ;  2000000     ;  ?           ;  cheio       
214170717   ;  29          ;  S           ;  1000000     ;  1179410     ;  saida       
214249150   ;  33          ;  S           ;  500000      ;  ?           ;  entrada     
214493588   ;  26          ;  E           ;  4500000     ;  4500151     ;  saida       
214749287   ;  33          ;  S           ;  500000      ;  500137      ;  saida       
214992823   ;  30          ;  N           ;  2000000     ;  2001593     ;  saida       
214993425   ;  27          ;  E           ;  4000000     ;  4003887     ;  saida       
215149473   ;  34          ;  N           ;  1000000     ;  ?           ;  entrada     
215648905   ;  35          ;  S           ;  2000000     ;  ?           ;  encerrado   
215649094   ;  36          ;  S           ;  2000000     ;  ?           ;  encerrado   
216149053   ;  37          ;  S           ;  3000000     ;  ?           ;  encerrado   
216149566   ;  34          ;  N           ;  1000000     ;  1000093     ;  saida       
217149161   ;  38          ;  E           ;  2500000     ;  ?           ;  encerrado   
217493380   ;  32          ;  O           ;  4000000     ;  4000764     ;  saida       
218149445   ;  39          ;  E           ;  4000000     ;  ?           ;  encerrado   
218149605   ;  40          ;  O           ;  1500000     ;  ?           ;  encerrado   
218649496   ;  41          ;  N           ;  2500000     ;  ?           ;  encerrado   
218649579   ;  42          ;  E           ;  3500000     ;  ?           ;  encerrado   
219149709   ;  43          ;  E           ;  3000000     ;  ?           ;  encerrado   
220149948   ;  44          ;  E           ;  3000000     ;  ?           ;  encerrado   
