 t(ticks)  ;  n_lugares ;  id_viatura  ;  observacao  
205488033  ; 1          ;  14          ;  estacionamento
205988028  ; 2          ;  15          ;  estacionamento
205988050  ; 3          ;  16          ;  estacionamento
206488103  ; 2          ;  15          ;  saida     
206488130  ; 3          ;  17          ;  estacionamento
206488186  ; 4          ;  18          ;  estacionamento
206988190  ; 3          ;  16          ;  saida     
206988656  ; 4          ;  20          ;  estacionamento
206988671  ; 5          ;  21          ;  estacionamento
206988695  ; 5          ;  19          ;  cheio     
207990983  ; 5          ;  22          ;  cheio     
208488793  ; 4          ;  21          ;  saida     
208988325  ; 3          ;  18          ;  saida     
208988721  ; 2          ;  20          ;  saida     
208995490  ; 3          ;  23          ;  estacionamento
209491248  ; 4          ;  25          ;  estacionamento
209491272  ; 5          ;  24          ;  estacionamento
209988226  ; 4          ;  17          ;  saida     
209993423  ; 5          ;  26          ;  estacionamento
210488182  ; 4          ;  14          ;  saida     
210493101  ; 3          ;  25          ;  saida     
210989518  ; 4          ;  27          ;  estacionamento
211989046  ; 5          ;  28          ;  estacionamento
212489141  ; 4          ;  28          ;  saida     
212495566  ; 3          ;  23          ;  saida     
212991208  ; 4          ;  30          ;  estacionamento
212991295  ; 5          ;  29          ;  estacionamento
212991335  ; 4          ;  24          ;  saida     
213492592  ; 5          ;  32          ;  estacionamento
213492620  ; 5          ;  31          ;  cheio     
213999197  ; 4          ;  29          ;  saida     
214249123  ; 5          ;  33          ;  estacionamento
214493515  ; 4          ;  26          ;  saida     
214749243  ; 3          ;  33          ;  saida     
214991286  ; 2          ;  30          ;  saida     
214991846  ; 1          ;  27          ;  saida     
215149453  ; 2          ;  34          ;  estacionamento
215269133  ; 2          ;  0           ;  encerrado 
216149537  ; 1          ;  34          ;  saida     
217493070  ; 0          ;  32          ;  saida     
